epoch;train_loss;valid_loss;mae;time
316;0.576541;5.790424;5.790424;01:39
317;0.548125;5.771267;5.771267;01:40
318;0.498923;5.771334;5.771334;01:41
319;0.521942;5.751165;5.751165;01:40
320;0.543910;5.747088;5.747088;01:40
321;0.497133;5.760958;5.760958;01:40
322;0.498883;5.785113;5.785113;01:39
323;0.493490;5.791313;5.791313;01:39
324;0.472851;5.732351;5.732351;01:40
325;0.517183;5.801056;5.801056;01:40
326;0.551797;5.772544;5.772544;01:40
327;0.468997;5.761523;5.761523;01:41
328;0.441024;5.793633;5.793633;01:40
329;0.456074;5.815236;5.815236;01:40
330;0.501119;5.839871;5.839871;01:40
331;0.480614;5.807089;5.807089;01:41
332;0.447505;5.819883;5.819883;01:40
333;0.488757;5.790875;5.790875;01:41
334;0.446237;5.763059;5.763059;01:39
335;0.448267;5.803804;5.803804;01:40
336;0.443152;5.840764;5.840764;01:41
337;0.429115;5.843971;5.843971;01:40
338;0.419467;5.829189;5.829189;01:40
339;0.409083;5.847572;5.847572;01:41
340;0.385367;5.797649;5.797649;01:41
341;0.418273;5.803847;5.803847;01:40
342;0.407785;5.818305;5.818305;01:39
343;0.393813;5.814649;5.814649;01:40
344;0.443589;5.782319;5.782319;01:40
345;0.410328;5.801014;5.801014;01:40
346;0.342891;5.827987;5.827987;01:40
347;0.355800;5.804219;5.804219;01:41
348;0.377404;5.815713;5.815713;01:40
349;0.306734;5.791059;5.791059;01:39
350;0.400946;5.810046;5.810046;01:40
351;0.362755;5.805642;5.805642;01:40
352;0.339062;5.806004;5.806004;01:40
353;0.357112;5.824234;5.824234;01:39
354;0.367084;5.813655;5.813655;01:40
355;0.325950;5.812014;5.812014;01:40
356;0.319588;5.799417;5.799417;01:40
357;0.330688;5.826220;5.826220;01:41
358;0.346347;5.806025;5.806025;01:41
359;0.326362;5.818395;5.818395;01:40
360;0.358152;5.813802;5.813802;01:40
361;0.325631;5.815361;5.815361;01:39
362;0.316115;5.822521;5.822521;01:40
363;0.318174;5.811865;5.811865;01:40
364;0.324234;5.810729;5.810729;01:40
365;0.268706;5.804767;5.804767;01:41
366;0.274951;5.796582;5.796582;01:40
367;0.307542;5.802396;5.802396;01:40
368;0.302217;5.799278;5.799278;01:40
369;0.305587;5.814666;5.814666;01:41
370;0.301910;5.808249;5.808249;01:40
371;0.315652;5.801427;5.801427;01:41
372;0.284900;5.809229;5.809229;01:40
373;0.300170;5.807816;5.807816;01:41
374;0.283152;5.805006;5.805006;01:40
375;0.279552;5.806098;5.806098;01:40
376;0.287837;5.807310;5.807310;01:40
377;0.259359;5.815825;5.815825;01:41
378;0.294812;5.808167;5.808167;01:41
379;0.273426;5.813781;5.813781;01:40
380;0.315934;5.814349;5.814349;01:40
381;0.268486;5.813251;5.813251;01:40
382;0.298339;5.806844;5.806844;01:40
383;0.242780;5.813922;5.813922;01:40
384;0.272457;5.808416;5.808416;01:40
385;0.277720;5.809110;5.809110;01:39
386;0.272516;5.809179;5.809179;01:40
387;0.254436;5.810780;5.810780;01:39
388;0.222375;5.810164;5.810164;01:40
389;0.260507;5.809589;5.809589;01:40
390;0.236193;5.809265;5.809265;01:41
391;0.218677;5.809784;5.809784;01:40
392;0.227406;5.810225;5.810225;01:40
393;0.269768;5.810031;5.810031;01:40
394;0.284342;5.809928;5.809928;01:40
395;0.237451;5.809884;5.809884;01:40
396;0.261373;5.809730;5.809730;01:40
397;0.229592;5.809683;5.809683;01:40
398;0.276631;5.809686;5.809686;01:39
399;0.263308;5.809706;5.809706;01:40
